Time,Post ID,Username,Comment,Reply,Comment ID
2025-12-12 19:31:01,18006559304665867,instagram_user,oh nice,Thank you for reaching out ðŸ˜Š,18330351163243853
2025-12-12 19:31:02,18006559304665867,instagram_user,oh this is amazing,Thank you for reaching out ðŸ˜Š,18029504429566363
2025-12-12 19:55:58,18006559304665867,instagram_user,oh i want this too,"That's great to hear! For more details and pricing, please send us a DM. ðŸ˜Š",18114553210596040,OpenAI
2025-12-12 19:56:02,18006559304665867,instagram_user,oh nice,"Thank you! If you have any questions or need more information, feel free to ask!",18330351163243853,OpenAI
2025-12-12 19:56:07,18006559304665867,instagram_user,oh this is amazing,"Thank you! We're glad you think so! If you have any questions or need more info, feel free to DM us!",18029504429566363,OpenAI
2025-12-12 20:02:33,17855278122581710,instagram_user,price?,Please send us a DM for pricing details. Thank you!,18061123328244529,OpenAI
2025-12-12 20:02:37,17855278122581710,instagram_user,oh this is so cute,"Thank you! Weâ€™re glad you think so! ðŸ˜Š If you have any questions or want to know more, feel free to DM us!",17985172913762954,OpenAI
2025-12-12 20:02:42,17855278122581710,instagram_user,when?,Could you please provide more context about what you're asking? I'd be happy to help!,18115096912575559,OpenAI
2025-12-12 20:03:43,17855278122581710,instagram_user,i want this too,Could you please provide more details about what you're interested in? Feel free to DM us for more information!,18087988360951290,OpenAI
2025-12-12 20:09:16,17855278122581710,instagram_user,oh very nice,"Thank you! We're glad you like it! If you have any questions or need more info, feel free to DM us!",18180020836317696,OpenAI
2025-12-12 20:09:20,17855278122581710,instagram_user,i want this too,Could you please provide more details about what you're interested in? Feel free to DM us for pricing and more information!,18087988360951290,OpenAI
2025-12-12 20:09:24,17855278122581710,instagram_user,price?,Please send us a DM for pricing details. Thank you!,18061123328244529,OpenAI
2025-12-12 20:09:28,17855278122581710,instagram_user,oh this is so cute,"Thank you! We're glad you think so! If you have any questions or want more details, feel free to DM us. ðŸ˜Š",17985172913762954,OpenAI
2025-12-12 20:09:31,17855278122581710,instagram_user,when?,Could you please provide more context? I'd be happy to help!,18115096912575559,OpenAI
2025-12-12 20:09:43,17855278122581710,instagram_user,this is amazing,"Thank you! We're glad you think so! If you have any questions or need more info, feel free to DM us!",17844680571621941,OpenAI
2025-12-12 20:11:41,17855278122581710,instagram_user,this is amazing,"Thank you! We're glad you think so! If you have any questions or want more details, feel free to DM us! ðŸ˜Š",17844680571621941,OpenAI
2025-12-12 20:11:51,17855278122581710,instagram_user,oh very nice,"Thank you! We're glad you think so! If you have any questions or need more info, feel free to DM us!",18180020836317696,OpenAI
2025-12-12 20:11:55,17855278122581710,instagram_user,i want this too,Could you please specify what you're interested in? Feel free to DM us for more details!,18087988360951290,OpenAI
2025-12-12 20:11:59,17855278122581710,instagram_user,price?,Please send us a DM for pricing details. Thank you!,18061123328244529,OpenAI
2025-12-12 20:12:03,17855278122581710,instagram_user,oh this is so cute,"Thank you! Weâ€™re glad you think so! ðŸ˜Š If you have any questions or want more details, feel free to DM us!",17985172913762954,OpenAI
2025-12-12 20:12:08,17855278122581710,instagram_user,when?,Could you please provide more details about what you're asking? I'm here to help!,18115096912575559,OpenAI
2025-12-12 20:12:23,17855278122581710,instagram_user,this is beautiful,"Thank you! We're glad you think so! If you have any questions or want more details, feel free to DM us!",18113549029608233,OpenAI
2025-12-12 20:24:41,18006559304665867,instagram_user,oh i want this too,"Thatâ€™s great to hear! For more details and pricing, please send us a DM. ðŸ˜Š",18114553210596040,OpenAI
2025-12-12 20:24:46,18006559304665867,instagram_user,oh nice,"Thank you! If you have any questions or need more information, feel free to ask!",18330351163243853,OpenAI
2025-12-12 20:24:49,18006559304665867,instagram_user,oh this is amazing,"Thank you! We're glad you think so! If you have any questions or need more details, feel free to DM us!",18029504429566363,OpenAI
2025-12-12 20:28:51,18006559304665867,instagram_user,oh i want this too,Thatâ€™s great to hear! Please send us a DM for more details. ðŸ˜Š,18114553210596040,OpenAI
2025-12-12 20:28:55,18006559304665867,instagram_user,oh nice,"Thank you! If you have any questions or need more information, feel free to ask!",18330351163243853,OpenAI
2025-12-12 20:28:58,18006559304665867,instagram_user,oh this is amazing,"Thank you! We're glad you think so! If you have any questions or need more info, feel free to DM us!",18029504429566363,OpenAI
2025-12-12 20:39:50,18006559304665867,instagram_user,oh i want this too,That's great to hear! Please send us a DM for more details. ðŸ˜Š,18114553210596040,OpenAI
2025-12-12 20:39:54,18006559304665867,instagram_user,oh nice,"Thank you! If you have any questions or need more information, feel free to ask!",18330351163243853,OpenAI
2025-12-12 20:39:59,18006559304665867,instagram_user,oh this is amazing,"Thank you! We're glad you think so! If you have any questions or need more details, feel free to DM us!",18029504429566363,OpenAI
2025-12-12 20:41:12,18006559304665867,instagram_user,oh i want this too,"Thatâ€™s great to hear! For more details, please send us a DM. ðŸ˜Š",18114553210596040,OpenAI
2025-12-12 20:41:19,18006559304665867,instagram_user,oh nice,"Thank you! If you have any questions or need more information, feel free to ask!",18330351163243853,OpenAI
2025-12-12 20:41:22,18006559304665867,instagram_user,oh this is amazing,"Thank you! We're glad you think so! If you have any questions or need more info, feel free to DM us!",18029504429566363,OpenAI
2025-12-12 20:43:41,18006559304665867,instagram_user,oh i want this too,"That sounds great! If you need more details, feel free to DM us! ðŸ˜Š",18114553210596040,OpenAI
2025-12-12 20:43:44,18006559304665867,instagram_user,oh nice,"Thank you! If you have any questions or need more info, feel free to DM us! ðŸ˜Š",18330351163243853,OpenAI
2025-12-12 20:43:49,18006559304665867,instagram_user,oh this is amazing,"Thank you! We're glad you think so! If you have any questions or need more details, feel free to DM us! ðŸ˜Š",18029504429566363,OpenAI
2025-12-12 20:50:26,18006559304665867,instagram_user,what is this????????????,Could you please clarify what you're referring to? Feel free to DM us for more details!,18550592482014131,OpenAI
2025-12-12 20:50:30,18006559304665867,instagram_user,oh i want this too,"That sounds great! If you need more details, feel free to DM us! ðŸ˜Š",18114553210596040,OpenAI
2025-12-12 20:50:34,18006559304665867,instagram_user,oh nice,"Thank you! If you have any questions or need more information, feel free to DM us! ðŸ˜Š",18330351163243853,OpenAI
2025-12-12 20:50:38,18006559304665867,instagram_user,oh this is amazing,"Thank you! We're glad you think so! If you have any questions or need more details, feel free to DM us! ðŸ˜Š",18029504429566363,OpenAI
2025-12-12 20:53:23,18006559304665867,instagram_user,Apne kya banaya hai?,Aap kya banane ki soch rahe hain? Agar aapko details chahiye toh please DM karein!,18109199737615608,OpenAI
2025-12-12 20:54:07,18006559304665867,instagram_user,yeh mujhe bata sakte hain keh yeh ai social media automation kya hai yeh batain,"AI social media automation ka matlab hai ke aap apne social media accounts par content ko automatically manage karne ke liye artificial intelligence ka istemal karte hain. Yeh tools aapko posts schedule karne, engagement track karne, aur analytics provide karne mein madad karte hain. Agar aapko aur details chahiye, toh please DM karein!",17861643762551793,OpenAI
2025-12-12 21:06:40,18548544826057474,instagram_user,wow kitna achi photo hai iska prompt toh do kaise generate karwaon?,"Shukriya! Agar aapko prompt generate karne mein madad chahiye, toh aap humein DM kar sakte hain. Wahan par hum aur details share kar sakte hain. ðŸ˜Š",18103293289707248,OpenAI
2025-12-12 21:06:45,18548544826057474,instagram_user,Is this available???,Could you please specify what you're referring to? Feel free to DM us for more details!,17869478220496340,OpenAI
2025-12-12 21:07:32,18548544826057474,instagram_user,gg prompt kya likhun aur mujhe spanish mein prompt do,"Aap ""gg"" ke liye creative prompts likh sakte hain, jaise ""Aapka favorite gaming moment kya hai?"" 

Spanish mein prompt: ""Â¿CuÃ¡l es tu momento favorito en los videojuegos?"" 

Agar aapko aur details chahiye, toh please DM karein!",17874982659378393,OpenAI
2025-12-12 21:08:29,18548544826057474,instagram_user,mujhe is post ke image ka prompt do aur mujhe urdu mein do pure,"Aapko post ke image ka prompt chahiye? Zaroor, lekin agar aapko tafseelat chahiye, toh please DM karein. Shukriya!",18123813652526656,OpenAI
2025-12-12 21:10:21,18548544826057474,instagram_user,is image kya indicate karti hai?????,"Kya aap thodi aur tafseel de sakte hain? Agar aapko kisi specific image ke baare mein baat karni hai, to please DM karein.",18095985673851236,OpenAI
2025-12-12 21:20:40,18546995932040452,instagram_user,oh wow dreamy,"Thank you! If you'd like to know more, feel free to DM us! âœ¨",18062214977236974,OpenAI
